MJD Freq Flux eFlux
56696.7 4.56 0.13 0.01
56696.7 7.38 0.24 0.01
56697.7 4.56 0.28 0.01
56697.7 7.38 0.4 0.01
56697.7 28.2 2.4 0.04
56697.7 36.5 2.5 0.04
56711.5 4.6 6.8 0.05
56711.5 7.4 7 0.05
56711.5 28.2 7.7 0.25
56711.5 36.5 5.4 1
56719.6 1.254 7.33 0.3
56719.6 1.7495 8.35 0.14
56719.6 4.554 8.932 0.027
56719.6 7.381 8.26 0.029
56719.6 13.546 7.917 0.08
56719.6 17.456 7.42 0.077
56719.6 28.206 5.9 0.16
56719.6 36.537 5.08 0.19
56730.5 1.2565 4.854 0.056
56730.5 1.7405 5.507 0.056
56730.5 4.556 6.004 0.027
56730.5 7.281 5.339 0.029
56730.5 13.541 4.917 0.051
56730.5 17.508 4.374 0.058
56730.5 28.152 3.12 0.13
56730.5 36.537 3.03 0.31
56741.5 1.259 4.165 0.052
56741.5 1.839 4.592 0.052
56741.5 4.556 4.425 0.016
56741.5 7.386 4.009 0.015
56741.5 13.546 3.801 0.027
56741.5 17.456 3.622 0.031
56741.5 28.206 3.558 0.074
56741.5 36.537 3.22 0.09
56748.5 1.2565 4.041 0.05
56748.5 1.7405 4.4 0.18
56748.5 4.556 4.434 0.017
56748.5 7.386 4.003 0.015
56748.5 13.545 3.814 0.025
56748.5 17.456 3.637 0.03
56748.5 28.216 3.545 0.076
56748.5 36.547 3.77 0.37
56756.4 1.2565 2.91 0.11
56756.4 1.833 2.873 0.065
56756.4 4.556 2.726 0.026
56756.4 7.386 2.558 0.02
56756.4 13.546 2.53 0.043
56756.4 17.456 2.61 0.055
56756.4 28.206 2.83 0.1
56756.4 36.537 2.9 0.17
56758.5 1.26 3.24 0.0793
56758.5 1.74 3.13 0.0583
56758.5 4.55 2.68 0.0171
56758.5 7.38 2.41 0.0144
56758.5 13.5 2.48 0.021
56758.5 17.4 2.5 0.0254
56758.5 28.2 2.71 0.0541
56758.5 36.5 2.86 0.0804
56767.4 1.26 2.78 0.0817
56767.4 1.74 2.6 0.053
56767.4 4.55 2.21 0.016
56767.4 7.38 1.96 0.0143
56767.4 13.5 1.99 0.0251
56767.4 17.4 2 0.0365
56767.4 28.2 2.42 0.0779
56767.4 36.5 2.14 0.106
56786.3 1.255 1.847 0.038 
56786.3 1.739 1.747 0.031
56786.3 4.55 1.425 0.012
56786.3 7.378 1.292 0.011 
56786.3 13.539 1.379 0.019
56786.3 17.449 1.383 0.025
56786.3 28.209 0.908 0.05
56786.3 36.53 0.585 0.054
56809.3 1.29 1.816 0.045
56809.3 1.77 1.697 0.042
56809.3 4.55 1.054 0.042
56809.3 7.38 0.965 0.01
56809.3 13.539 1.082 0.024
56809.3 17.449 1.06 0.028
56809.3 28.208 1.017 0.05
56809.3 36.53 0.932 0.058
56842.5 1.26 1.26 0.759
56842.5 1.7 0.918 0.38
56842.5 4.55 0.755 0.0424
56842.5 7.38 0.787 0.0218
56842.5 13.5 0.96 0.0291
56842.5 17.4 0.996 0.0387
56842.5 28.2 1.14 0.0789
56842.5 36.5 1.0 0.107
56876.1 1.26 0.0992 0.593
56876.1 1.7 0.393 0.453
56876.1 4.55 0.683 0.0374
56876.1 7.38 0.605 0.0254
56876.1 13.5 0.779 0.0347
56876.1 17.4 0.701 0.0458
56876.1 28.2 0.559 0.119
56876.1 36.5 0.364 0.147
56929.9 1.26 0.767 0.315
56929.9 1.7 0.125 0.194
56929.9 4.5 0.494 0.0349
56929.9 7.4 0.403 0.0211
56937.97 13.5 0.447 0.0160
56937.97 17.4 0.453 0.0200
56937.97 28.2 0.490 0.0625
56937.97 36.5 0.324 0.0921
57052.6 1.26 0.296 0.139
57052.6 1.80 0.156 0.0876
57052.6 4.55 0.265 0.0245
57052.6 7.38 0.228 0.0211
57054.7 13.5 0.209 0.00973
57054.7 17.4 0.184 0.0131
57054.7 28.2 0.212 0.0377
57054.7 36.5 0.0116 0.0554
