# epoch,MJD,Frequency (GHz),Flux density (mJy),error (mJy),Project,Measurer,Date Obs.,VLA config.,Comments,,,source image peak Flux density (mJy/beam),image rms (mJy/beam),
1,59439.04,2.6,4.710,0.140,21A-342,Kirill,2021-08-13,C,flux density and error from point source fit in difmap after selfcal,,,3.322,0.033,
,,3.4,5.328,0.093,,,,,flux density and error from point source fit in difmap after selfcal,,,4.703,0.029,
,,5.1,10.012,0.058,,,,,flux density and error from point source fit in difmap after selfcal,,,9.332,0.025,
,,7.0,15.607,0.057,,,,,flux density and error from point source fit in difmap after selfcal,,,14.777,0.029,
,,13.7,24.088,0.055,,,,,flux density and error from point source fit in difmap after selfcal,,,20.189,0.055,
,,16.5,25.573,0.059,,,,,flux density and error from point source fit in difmap after selfcal,,,19.861,0.063,
,,31.1,35.973,0.140,,,,,flux density and error from point source fit in difmap after selfcal,,,21.639,0.130,
,,34.9,38.318,0.160,,,,,flux density and error from point source fit in difmap after selfcal,,,20.917,0.152,
,,,,,,,,,,,,,,
2,59440.08,2.6,18.206,0.110,21A-342,Kirill,2021-08-14,C,flux density and error from point source fit in difmap after selfcal,,,17.931,0.039,
,,3.4,23.366,0.100,,,,,flux density and error from point source fit in difmap after selfcal,,,22.703,0.035,
,,5.1,33.454,0.059,,,,,flux density and error from point source fit in difmap after selfcal,,,32.196,0.042,
,,7.0,39.663,0.055,,,,,flux density and error from point source fit in difmap after selfcal,,,37.326,0.057,
,,13.7,40.939,0.062,,,,,flux density and error from point source fit in difmap after selfcal,,,35.532,0.087,
,,16.5,41.636,0.063,,,,,flux density and error from point source fit in difmap after selfcal,,,35.383,0.094,
,,31.1,44.762,0.140,,,,,flux density and error from point source fit in difmap after selfcal,,,23.727,0.148,
,,34.9,46.680,0.150,,,,,flux density and error from point source fit in difmap after selfcal,,,20.196,0.191,
,,,,,,,,,,,,,,
3,59443.99,2.6,68.929,0.370,21A-342,Kirill,2021-08-18,C,flux density and error from point source fit in difmap after selfcal,,,70.702,0.140,
,,3.4,73.933,0.110,,,,,flux density and error from point source fit in difmap after selfcal,,,73.918,0.079,
,,5.1,67.597,0.087,,,,,flux density and error from point source fit in difmap after selfcal,,,65.342,0.081,
,,7.0,58.650,0.068,,,,,flux density and error from point source fit in difmap after selfcal,,,55.780,0.081,
,,13.7,47.847,0.066,,,,,flux density and error from point source fit in difmap after selfcal,,,43.886,0.091,
,,16.5,46.810,0.063,,,,,flux density and error from point source fit in difmap after selfcal,,,40.971,0.096,
,,31.1,48.130,0.140,,,,,flux density and error from point source fit in difmap after selfcal,,,16.756,0.196,
,,34.9,49.924,0.160,,,,,flux density and error from point source fit in difmap after selfcal,,,12.008,0.236,
,,,,,,,,,,,,,,
4,59446.01,2.6,88.695,0.210,21A-342,Kirill,2021-08-20,C,flux density and error from point source fit in difmap after selfcal,,,88.018,0.071,
,,3.4,78.259,0.110,,,,,flux density and error from point source fit in difmap after selfcal,,,77.584,0.044,
,,5.1,60.457,0.065,,,,,flux density and error from point source fit in difmap after selfcal,,,59.194,0.042,
,,7.0,50.875,0.057,,,,,flux density and error from point source fit in difmap after selfcal,,,49.407,0.040,
,,13.7,43.692,0.054,,,,,flux density and error from point source fit in difmap after selfcal,,,39.515,0.071,
,,16.5,42.418,0.055,,,,,flux density and error from point source fit in difmap after selfcal,,,37.452,0.076,
,,31.1,46.076,0.120,,,,,flux density and error from point source fit in difmap after selfcal,,,26.322,0.153,
,,34.9,48.490,0.140,,,,,flux density and error from point source fit in difmap after selfcal,,,24.135,0.185,
,,,,,,,,,,,,,,
5,59446.99,2.6,84.443,0.340,21A-342,Kirill,2021-08-21,C,flux density and error from point source fit in difmap after selfcal,,,82.521,0.122,
,,3.4,82.034,0.130,,,,,flux density and error from point source fit in difmap after selfcal,,,80.698,0.072,
,,5.1,63.977,0.083,,,,,flux density and error from point source fit in difmap after selfcal,,,61.952,0.078,
,,7.0,51.883,0.062,,,,,flux density and error from point source fit in difmap after selfcal,,,49.670,0.053,
,,13.7,41.854,0.056,,,,,flux density and error from point source fit in difmap after selfcal,,,33.481,0.093,
,,16.5,40.830,0.056,,,,,flux density and error from point source fit in difmap after selfcal,,,29.824,0.096,
,,31.1,43.653,0.120,,,,,flux density and error from point source fit in difmap after selfcal,,,14.607,0.159,
,,34.9,45.965,0.130,,,,,flux density and error from point source fit in difmap after selfcal,,,11.818,0.184,
,,,,,,,,,,,,,,
6,59451.01,2.6,92.534,0.240,21B-336,Kirill,2021-08-25,C,flux density and error from point source fit in difmap after selfcal,,,91.177,0.070,
,,3.4,83.135,0.190,,,,,flux density and error from point source fit in difmap after selfcal,,,82.499,0.064,
,,5.1,61.832,0.074,,,,,flux density and error from point source fit in difmap after selfcal,,,60.568,0.057,
,,7.0,52.291,0.059,,,,,flux density and error from point source fit in difmap after selfcal,,,50.553,0.057,
,,13.7,44.133,0.054,,,,,flux density and error from point source fit in difmap after selfcal,,,40.084,0.077,
,,16.5,42.894,0.061,,,,,flux density and error from point source fit in difmap after selfcal,,,37.127,0.088,
,,31.1,47.067,0.120,,,,,flux density and error from point source fit in difmap after selfcal,,,31.393,0.137,
,,34.9,48.103,0.130,,,,,flux density and error from point source fit in difmap after selfcal,,,28.698,0.167,
,,,,,,,,,,,,,,
7,59461.01,2.6,94.467,0.220,21B-336,Kirill,2021-09-04,C,flux density and error from point source fit in difmap after selfcal,,,93.398,0.067,
,,3.4,85.812,0.170,,,,,flux density and error from point source fit in difmap after selfcal,,,85.051,0.059,
,,5.1,65.115,0.074,,,,,flux density and error from point source fit in difmap after selfcal,,,63.886,0.052,
,,7.0,57.617,0.064,,,,,flux density and error from point source fit in difmap after selfcal,,,55.992,0.055,
,,13.7,54.102,0.060,,,,,flux density and error from point source fit in difmap after selfcal,,,48.339,0.104,
,,16.5,54.536,0.065,,,,,flux density and error from point source fit in difmap after selfcal,,,46.996,0.119,
,,31.1,70.776,0.150,,,,,flux density and error from point source fit in difmap after selfcal,,,39.212,0.245,
,,34.9,77.042,0.160,,,,,flux density and error from point source fit in difmap after selfcal,,,37.994,0.287,
,,,,,,,,,,,,,,
8,59463.02,2.6,88.638,0.200,21B-336,Kirill,2021-09-06,C,flux density and error from point source fit in difmap after selfcal,,,87.404,0.063,
,,3.4,80.579,0.170,,,,,flux density and error from point source fit in difmap after selfcal,,,79.514,0.057,
,,5.1,60.766,0.069,,,,,flux density and error from point source fit in difmap after selfcal,,,59.992,0.045,
,,7.0,56.003,0.062,,,,,flux density and error from point source fit in difmap after selfcal,,,54.160,0.047,
,,13.7,51.457,0.068,,,,,flux density and error from point source fit in difmap after selfcal,,,48.408,0.078,
,,16.5,54.259,0.074,,,,,flux density and error from point source fit in difmap after selfcal,,,49.828,0.090,
,,31.1,75.224,0.170,,,,,flux density and error from point source fit in difmap after selfcal,,,56.824,0.234,
,,34.9,82.831,0.180,,,,,flux density and error from point source fit in difmap after selfcal,,,57.864,0.298,
,,,,,,,,,,,,,,
