#Epoch MJD "Freq(GHz)" "Flux(mJy)" "eFlux(mJy)" "Day"
1 56747.5 29.5 6.42 0.0217 1
1 56747.5 35 5.12 0.0281 1

2a 56757.5 1.26 14.9 0.0489 11
2a 56757.5 1.73 15.3 0.0413 11
2a 56757.5 4.55 13.3 0.0093 11
2a 56757.5 7.38 10.5 0.0061 11

2b 56759.5 13.5 6.44 0.0183 13
2b 56759.5 17.5 5.19 0.0241 13
2b 56759.5 29.5 2.38 0.0207 13
2b 56759.5 35 1.58 0.0226 13

3a 56768.4 13.5 4.59 0.0132 22
3a 56768.4 17.5 3.98 0.0178 22
3a 56768.4 29.5 2.05 0.029 22
3a 56768.4 35 1.51 0.0297 22

3b 56768.4 1.26 10.998 0.056 22
3b 56768.4 1.83 9.67 0.0416 22
3b 56768.4 4.55 7.69 0.0136 22
3b 56768.4 7.38 6.16 0.0101 22

4a 56774.4 1.26 9.64 0.0464 28
4a 56774.4 1.83 8.07 0.0367 28
4a 56774.4 4.55 6.01 0.0146 28
4a 56774.4 7.38 3.79 0.0257 28

4b 56776.4 13.5 3.51 0.0121 30
4b 56776.4 17.5 3.02 0.0159 30
4b 56776.4 29.5 1.93 0.0227 30
4b 56776.4 35 1.496 0.0266 30
 
5a 56788.3 1.26 7.29 0.0473 42
5a 56788.3 1.73 6.0 0.0447 42
5a 56788.3 4.55 3.58 0.0246 42
5a 56788.3 7.38 1.77 0.0223 42
 
5b 56790.4 13.5 2.4 0.0117 44
5b 56790.4 17.5 2.05 0.015 44
5b 56790.4 29.5 1.01 0.0203 44
5b 56790.4 35 0.675 0.0236 44
 
6a 56821.3 1.26 2.75 0.0824 75
6a 56821.3 1.73 2.97 0.0738 75
6a 56821.3 4.55 1.11 0.0593 75
6a 56821.3 7.38 0.571 0.047 75

6b 56827.2 13.5 1.197 0.0465 81
6b 56827.2 17.5 1.15 0.0541 81
6b 56827.2 29.5 0.433 0.0625 81
6b 56827.2 35 0.294 0.063 81

7a 56841.2 1.26 3.53 0.0426 95
7a 56841.2 1.73 3.05 0.0129 95
7a 56841.2 4.55 1.67 0.0333 95
7a 56841.2 7.38 1.22 0.0265 95

7b 56851.2 13.5 0.772 0.0182 105
7b 56851.2 17.4 0.646 0.0221 105
7b 56851.2 28.2 0.521 0.118 105
7b 56851.2 36.5 0.21 0.152 105

8a 56881 1.26 1.24 0.491 135 
8a 56881 1.73 1.69 0.143 135
8a 56881 4.55 0.792 0.0322 135
8a 56881 7.38 0.504 0.033 135
 
9a 56908.1 1.26 1.19 0.313 162
9a 56908.1 1.73 1.07 0.134 162
9a 56908.1 4.55 0.674 0.0344 162
9a 56908.1 7.38 0.403 0.0155 162

9b 56936.6 13.5 0.257 0.0138 190
9b 56936.6 17.5 0.2213 0.0167 190
9b 56936.6 28.2 0.322 0.054 190
9b 56936.6 36.5 0.166 0.0462 190

11a 56969.8 13.5 0.135 0.0136 223
11a 56969.8 17.5 0.158 0.0174 223
11a 56969.8 28.2 0 0.0346 223
11a 56969.8 36.5 0.0479 0.046 223

11b 56969.9 1.26 0.461 0.178 223
11b 56969.9 1.73 0.607 0.149 223
11b 56969.9 4.55 0.273 0.0186 223
11b 56969.9 7.38 0.198 0.0109 223

12a 56997.8 1.35 0.398 0.156 251
12a 56997.8 1.74 0.191 0.107 251
12a 56997.8 4.55 0.184 0.026 251
12a 56997.8 7.38 0.0982 0.013 251

12b 57003.7 13.5 0.1 0.0149 257
12b 57003.7 17.5 0.109 0.0172 257
12b 57003.7 28.2 0.109 0.0401 257
12b 57003.7 36.5 0 0.0629 257

13a 57039.6 13.5 0.128 0.0122 293
13a 57039.6 17.4 0.0693 0.0163 293
13a 57039.6 28.2 0 0.0413 293
13a 57039.6 36.5 0.0144 0.0541 293

13b 57039.7 1.26 0.272 0.136 293
13b 57039.7 1.73 0.153 0.0705 293
13b 57039.7 4.55 0.11 0.0139 293
13b 57039.7 7.38 0.0714 0.0102 293

14a 57082.6 1.26 0.192 0.116 336
14a 57082.6 1.8 0.228 0.045 336
14a 57082.6 4.55 0.0528 0.0157 336
14a 57082.6 7.38 0.0586 0.0116 336
 
14b 57085.5 13.5 0.0451 0.0142 339
14b 57085.5 17.4 0.0442 0.0175 339
14b 57085.5 28.2 0 0.0424 339
14b 57085.5 36.5 0 0.0569 339

15a 57136.4 1.26 0.115 0.0965 390
15a 57136.4 1.8 0.0672 0.0514 390
15a 57136.4 4.55 0.0609 0.0127 390
15a 57136.4 7.38 0.0676 0.0102 390

15b 57140.4 13.5 0.011 0.0147 394
15b 57140.4 17.4 0.0266 0.0181 394
15b 57140.4 28.2 0 0.0449 394
15b 57140.4 36.5 0.113 0.0622 394

16 57360.7 1.26 0 0 614
16 57360.7 1.74 0 0 614
16 57360.7 5 0.0211 0.0335 614
16 57360.7 7 0.0352 0.0265 614
16 57360.7 13.5 0.00819 0.018 614
16 57360.7 16.5 0.0276 0.0204 614
16 57360.7 29.6 0 0.0578 614
16 57360.7 35 0.0899 0.0581 614
