;Date (MJD)	Epoch	Freq	Flux	error	RMS	systematics
56040.4	1	33	0.032	0.025	1.00E-10	0.05
56069.0	A	225.3	13.80	2.000	1.00E-10	0.05
56084.4	2	5	1.089	0.028	1.00E-10	0.05
56084.4	2	6.8	1.381	0.025	1.00E-10	0.05
56092.2	3	13.3	3.523	0.042	1.00E-10	0.05
56092.2	3	16	3.98	0.049	1.00E-10	0.05
56092.2	3	28.2	5.727	0.098	1.00E-10	0.05
56092.2	3	36.5	5.961	0.139	1.00E-10	0.05
56100.3	4	2.5	3.094	0.037	1.00E-10	0.05
56100.3	4	3.5	3.201	0.030	1.00E-10	0.05
56100.3	4	5	3.423	0.023	1.00E-10	0.05
56100.3	4	6.8	3.629	0.025	1.00E-10	0.05
56100.3	4	8.5	3.683	0.052	1.00E-10	0.05
56100.3	4	11.4	3.779	0.071	1.00E-10	0.05
56117.9	B	225.5	0.000	0.068	1.00E-10	0.05
56119.1	5	1.35	1.68	0.120	1.00E-10	0.05
56119.1	5	1.84	1.391	0.066	1.00E-10	0.05
56119.1	5	4.74	1.907	0.027	1.00E-10	0.05
56119.1	5	7.59	1.921	0.023	1.00E-10	0.05
56128.3	6	17.5	1.374	0.091	1.00E-10	0.05
56128.3	6	27.5	1.438	0.143	1.00E-10	0.05
56128.3	6	36.5	1.136	0.194	1.00E-10	0.05
56148.0	7	1.2555	0.340	0.071	1.00E-10	0.05
56148.0	7	1.7715	0.560	0.072	1.00E-10	0.05
56148.0	7	4.74	0.521	0.033	1.00E-10	0.05
56148.0	7	7.59	0.528	0.025	1.00E-10	0.05
56148.0	7	8.53	0.556	0.031	1.00E-10	0.05
56148.0	7	11.38	0.571	0.060	1.00E-10	0.05
56150.2	8	13.3	0.495	0.042	1.00E-10	0.05
56150.2	8	17.45	0.38	0.049	1.00E-10	0.05
56150.2	8	27.5	0.469	0.078	1.00E-10	0.05
56150.2	8	36.5	0.39	0.086	1.00E-10	0.05
56151.3	8	1.25	0	0.091	1.00E-10	0.05
56151.3	8	1.80	0.497	0.088	1.00E-10	0.05
56151.3	8	4.549	0.502	0.034	1.00E-10	0.05
56151.3	8	7.399	0.469	0.025	1.00E-10	0.05
56151.3	8	8.51	0.443	0.021	1.00E-10	0.05
56151.3	8	11.34	0.418	0.035	1.00E-10	0.05
;
;
;;;; We have redundancies for epoch 9, I selected one from each band to include (JW)
;
;;;S4322
56167.0	9	1.36	0.244	0.049	1.00E-10	0.05
56167.0	9	1.78	0.431	0.048	1.00E-10	0.05
;
;;;12A-479
;56167.0	9	1.3835	0	0.075	1.00E-10	0.05
;56167.0	9	1.8035	0	0.029	1.00E-10	0.05
56167.0	9	4.608	0.347	0.028	1.00E-10	0.05
56167.0	9	7.458	0.292	0.016	1.00E-10	0.05
56167.0	9	8.5	0.289	0.018	1.00E-10	0.05
56167.0	9	11.4	0.368	0.031	1.00E-10	0.05
;
;;;12A-483
;56167.0	9	1.2555	0	0.086	1.00E-10	0.05
;56167.0	9	1.7395	0.346	0.093	1.00E-10	0.05
;56167.0	9	4.5490	0.282	0.036	1.00E-10	0.05
;56167.0	9	7.399	0.286	0.024	1.00E-10	0.05
;
;
56174.2	10	13.3	0.188	0.019	1.00E-10	0.05
56174.2	10	17.45	0.110	0.029	1.00E-10	0.05
56174.2	10	27.5	0.106	0.027	1.00E-10	0.05
56174.2	10	36.5	0.365	0.131	1.00E-10	0.05
56177.9	11	1.33	0.225	0.044	1.00E-10	0.05
56177.9	11	1.77	0.201	0.042	1.00E-10	0.05
56231.0	12	13.3	0.035	0.021	1.00E-10	0.05
56231.0	12	17.4	0.043	0.027	1.00E-10	0.05
56231.0	12	27.5	0.060	0.044	1.00E-10	0.05
56231.0	12	36.5	0.044	0.052	1.00E-10	0.05
56270.8	13	1.2555	0	0.083	1.00E-10	0.05
56270.8	13	1.7395	0	0.084	1.00E-10	0.05
56270.8	13	4.549	0	0.021	1.00E-10	0.05
56270.8	13	7.399	0	0.016	1.00E-10	0.05
56270.8	13	8.519	0	0.025	1.00E-10	0.05
56270.8	13	11.399	0	0.030	1.00E-10	0.05
56284.6	14	13.299	0	0.029	1.00E-10	0.05
56284.6	14	17.449	0	0.035	1.00E-10	0.05
56284.6	14	13.30	0.047	0.022	1.00E-10	0.05
56284.6	14	17.45	0.049	0.026	1.00E-10	0.05
56284.6	14	27.50	0.036	0.050	1.00E-10	0.05
56284.6	14	36.50	0.020	0.068	1.00E-10	0.05
56297.7	15	1.26	0.0504	0.102	1.00E-10	0.05
56297.7	15	1.74	-0.00249	0.068	1.00E-10	0.05
56297.7	15	4.55	0.0328	0.033	1.00E-10	0.05
56297.7	15	7.399	0.0288	0.023	1.00E-10	0.05
56297.7	15	8.52	0.0286	0.018	1.00E-10	0.05
56297.7	15	11.4	0.0413	0.023	1.00E-10	0.05
56347.7	16	1.26	0.346	0.503	1.00E-10	0.05
56347.7	16	1.74	-0.0272	0.368	1.00E-10	0.05
56347.7	16	4.55	-0.232	0.114	1.00E-10	0.05
56347.7	16	7.399	-0.00948	0.160	1.00E-10	0.05
56347.7	16	8.52	0.465	0.201	1.00E-10	0.05
56347.7	16	11.4	-0.0358	0.301	1.00E-10	0.05
56358.6	17	13.22	0.025	0.027	1.00E-10	0.05
56358.6	17	17.45	0.009	0.025	1.00E-10	0.05
56358.6	17	27.50	0.046	0.049	1.00E-10	0.05
56358.6	17	36.50	0.120	0.062	1.00E-10	0.05
56369.6	17	13.3	-0.0319	0.023	1.00E-10	0.05
56369.6	17	17.4	0.0240	0.029	1.00E-10	0.05
56369.6	17	27.5	0.113	0.065	1.00E-10	0.05
56369.6	17	36.5	0.0109	0.083	1.00E-10	0.05
56441.4	18	1.26	0.0811	0.396	1.00E-10	0.05
56441.4	18	1.74	-0.202	0.326	1.00E-10	0.05
56441.4	18	4.55	0.0437	0.033	1.00E-10	0.05
56441.4	18	7.399	-0.0098	0.021	1.00E-10	0.05
56441.4	18	8.52	-0.00263	0.018	1.00E-10	0.05
56441.4	18	11.4	-0.0266	0.019	1.00E-10	0.05
56446.2	18	13.3	-0.0169	0.024	1.00E-10	0.05
56446.2	18	17.4	0.0260	0.029	1.00E-10	0.05
56446.2	18	27.5	0.112	0.077	1.00E-10	0.05
56446.2	18	36.5	-0.0663	0.095	1.00E-10	0.05
56526.7	19	1.26	-0.571	0.276	1.00E-10	0.05
56526.7	19	1.74	-0.348	0.169	1.00E-10	0.05
56526.7	19	4.55	-0.00306	0.028	1.00E-10	0.05
56526.7	19	7.40	-0.0045	0.019	1.00E-10	0.05
56526.7	19	8.52	0.00449	0.022	1.00E-10	0.05
56526.7	19	11.4	-0.0051	0.024	1.00E-10	0.05
56530.7	19	13.3	-0.00734	0.031	1.00E-10	0.05
56530.7	19	17.4	-0.00912	0.053	1.00E-10	0.05
56530.7	19	27.5	0.0271	0.011	1.00E-10	0.05
56530.7	19	36.5	0.110	0.110	1.00E-10	0.05
