JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459432.6083,11.1,,,Vis.,MOW,,109,115,X23039XB,,,,Z,,,,RS OPH,AAVSO,STD,,,,
2459432.67088,12.184,0.016,,B,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.605|VERR=0.011|CREFMAG=12.242|CREFERR=0.012|KREFMAG=14.273|KREFERR=0.012|VX=1.3575|CX=1.3578|KX=1.3578|TB_BV=0.2300|TB_BVERR=0.0330|TAVER=2.51,1,1.339,Z,13.741,15.839,,RS OPH,AAVSO,STD,121,,,
2459432.67148,12.170,0.015,,B,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.594|VERR=0.011|CREFMAG=12.242|CREFERR=0.012|KREFMAG=14.273|KREFERR=0.012|VX=1.3565|CX=1.3568|KX=1.3568|TB_BV=0.2300|TB_BVERR=0.0330|TAVER=2.51,1,1.338,Z,13.732,15.738,,RS OPH,AAVSO,STD,122,,,
2459432.67211,12.227,0.018,,B,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.633|VERR=0.011|CREFMAG=12.242|CREFERR=0.012|KREFMAG=14.273|KREFERR=0.012|VX=1.3555|CX=1.3558|KX=1.3558|TB_BV=0.2300|TB_BVERR=0.0330|TAVER=2.51,1,1.337,Z,13.738,15.762,,RS OPH,AAVSO,STD,123,,,
2459432.67274,12.295,0.019,,B,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.665|VERR=0.011|CREFMAG=12.242|CREFERR=0.012|KREFMAG=14.273|KREFERR=0.012|VX=1.3545|CX=1.3548|KX=1.3548|TB_BV=0.2300|TB_BVERR=0.0330|TAVER=2.51,1,1.336,Z,13.716,15.758,,RS OPH,AAVSO,STD,124,,,
2459432.67333,12.263,0.019,,B,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.670|VERR=0.011|CREFMAG=12.242|CREFERR=0.012|KREFMAG=14.273|KREFERR=0.012|VX=1.3536|CX=1.3539|KX=1.3539|TB_BV=0.2300|TB_BVERR=0.0330|TAVER=2.51,1,1.335,Z,13.754,15.800,,RS OPH,AAVSO,STD,125,,,
2459432.67400,11.121,0.011,,V,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.206|VERR=0.009|CREFMAG=11.517|CREFERR=0.008|KREFMAG=13.254|KREFERR=0.008|VX=1.3526|CX=1.3529|KX=1.3529|TV_BV=-0.0120|TV_BVERR=0.0200|TAVER=2.51,1,1.334,Z,13.598,15.373,,RS OPH,AAVSO,STD,121,,,
2459432.67449,11.157,0.011,,V,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.222|VERR=0.009|CREFMAG=11.517|CREFERR=0.008|KREFMAG=13.254|KREFERR=0.008|VX=1.3518|CX=1.3522|KX=1.3522|TV_BV=-0.0120|TV_BVERR=0.0200|TAVER=2.51,1,1.334,Z,13.579,15.323,,RS OPH,AAVSO,STD,122,,,
2459432.67496,11.109,0.012,,V,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.206|VERR=0.009|CREFMAG=11.517|CREFERR=0.008|KREFMAG=13.254|KREFERR=0.008|VX=1.3512|CX=1.3516|KX=1.3515|TV_BV=-0.0120|TV_BVERR=0.0200|TAVER=2.51,1,1.333,Z,13.609,15.370,,RS OPH,AAVSO,STD,123,,,
2459432.67545,11.117,0.013,,V,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.202|VERR=0.009|CREFMAG=11.517|CREFERR=0.008|KREFMAG=13.254|KREFERR=0.008|VX=1.3505|CX=1.3509|KX=1.3508|TV_BV=-0.0120|TV_BVERR=0.0200|TAVER=2.51,1,1.333,Z,13.597,15.325,,RS OPH,AAVSO,STD,124,,,
2459432.67594,11.083,0.013,,V,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.176|VERR=0.009|CREFMAG=11.517|CREFERR=0.008|KREFMAG=13.254|KREFERR=0.008|VX=1.3498|CX=1.3502|KX=1.3502|TV_BV=-0.0120|TV_BVERR=0.0200|TAVER=2.51,1,1.332,Z,13.605,15.422,,RS OPH,AAVSO,STD,125,,,
2459432.67651,9.059,0.034,,I,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=12.519|VERR=0.006|CREFMAG=10.660|CREFERR=0.014|KREFMAG=11.934|KREFERR=0.013|VX=1.3490|CX=1.3495|KX=1.3494|TI_VI=-0.0870|TI_VIERR=0.0280|TAVER=2.51,1,1.331,Z,14.015,15.324,,RS OPH,AAVSO,STD,121,,,
2459432.67693,9.017,0.037,,I,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=12.495|VERR=0.006|CREFMAG=10.660|CREFERR=0.014|KREFMAG=11.934|KREFERR=0.013|VX=1.3485|CX=1.3489|KX=1.3489|TI_VI=-0.0870|TI_VIERR=0.0280|TAVER=2.51,1,1.331,Z,14.026,15.333,,RS OPH,AAVSO,STD,122,,,
2459432.67734,9.043,0.035,,I,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=12.494|VERR=0.006|CREFMAG=10.660|CREFERR=0.014|KREFMAG=11.934|KREFERR=0.013|VX=1.3479|CX=1.3484|KX=1.3483|TI_VI=-0.0870|TI_VIERR=0.0280|TAVER=2.51,1,1.330,Z,14.006,15.322,,RS OPH,AAVSO,STD,123,,,
2459432.67776,9.030,0.035,,I,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=12.497|VERR=0.006|CREFMAG=10.660|CREFERR=0.014|KREFMAG=11.934|KREFERR=0.013|VX=1.3474|CX=1.3479|KX=1.3478|TI_VI=-0.0870|TI_VIERR=0.0280|TAVER=2.51,1,1.330,Z,14.020,15.300,,RS OPH,AAVSO,STD,124,,,
2459432.67820,9.029,0.034,,I,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=12.490|VERR=0.006|CREFMAG=10.660|CREFERR=0.014|KREFMAG=11.934|KREFERR=0.013|VX=1.3469|CX=1.3473|KX=1.3472|TI_VI=-0.0870|TI_VIERR=0.0280|TAVER=2.51,1,1.329,Z,14.017,15.307,,RS OPH,AAVSO,STD,125,,,
2459433.38889,<10.5,,,Vis.,MED,,10.5,,B,,,,Z,,,,Rs oph,AAVSO,STD,,,,
2459433.41,11.1,,,Vis.,PYG,U,109-2,,AAVSO X25410AKQ,,,,Z,,,,RS OPH,BAA-VSS,STD,,,,
2459433.422,10.8,,,Vis.,TOO,,,,24.02,SCT200,,,Z,,,,RS OPH,BAA-VSS,STD,,,,BAAVSS
2459433.65448,12.262,0.023,,B,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.774|VERR=0.014|CREFMAG=12.242|CREFERR=0.012|KREFMAG=14.273|KREFERR=0.012|VX=1.3864|CX=1.3865|KX=1.3867|TB_BV=0.2300|TB_BVERR=0.0330|TAVER=2.51,1,1.365,Z,13.870,15.893,,RS OPH,AAVSO,STD,126,,,
