MJD	Frequency(GHz)	Fluxdensity(mJy)	error(mJy)
59755.22	2.6	0.005	0.036
59755.22	3.4	0.0002	0.022
59755.22	5.1	0.013	0.023
59755.22	7.0	0.061	0.019
59755.22	13.7	0.211	0.027
59755.22	16.5	0.216	0.032
59755.22	31.1	0.424	0.081
59755.22	34.9	0.452	0.099
59769.25	2.6	0.019	0.032
59769.25	3.4	0.013	0.028
59769.25	5.1	0.065	0.031
59769.25	7.0	0.115	0.029
59769.25	13.7	0.125	0.031
59769.25	16.5	0.169	0.029
59769.25	31.1	0.010	0.099
59769.25	34.9	0.193	0.126
59776.14	2.6	0.002	0.009
59776.14	3.4	0.010	0.015
59776.14	5.1	0.017	0.010
59776.14	7.0	0.057	0.026
59776.14	13.7	0.105	0.012
59776.14	16.5	0.108	0.013
59776.14	31.1	0.185	0.044
59776.14	34.9	0.152	0.052
59796.03	2.6	-0.008	0.038
59796.03	3.4	0.026	0.025
59796.03	5.1	0.024	0.022
59796.03	7.0	0.030	0.020
59796.03	13.7	0.048	0.025
59796.03	16.5	0.042	0.029
59796.03	31.1	0.103	0.072
59796.03	34.9	0.009	0.083
59815.03	2.6	0.020	0.057
59815.03	3.4	0.018	0.027
59815.03	5.1	0.025	0.024
59815.03	7.0	0.020	0.023
59815.03	13.7	0.014	0.022
59815.03	16.5	0.023	0.027
59815.03	31.1	0.035	0.065
59815.03	34.9	0.026	0.070
