; Note: this has updated K/A fluxes from reprocessing

; Flux is in mJy
; Err1 = JMFIT (AIPS) or gaussfit (CASA) reported error
; Err2 = CASA image RMS
; Err3 = Estimated calibration error (%)

; MJD     Epoch Freq Flux   Err1   Err2   Err3

55284.8    2.0  1.5 -0.124  0.720  0.000  0.050 AL733   D *non detection
55289.7    3.0  1.4  2.980  0.500  0.000  0.050 AS1039	D
55298.7    5.0  1.4  4.040  0.300  0.000  0.050 AS1039	D
55301.7    6.0  1.4  3.597  0.330  0.000  0.050 AS1039	D
55304.7    7.0  1.4  4.780  0.300  0.000  0.050 AS1039	D
55308.7    8.0  1.4  5.482  0.300  0.000  0.050 AS1039	D
55311.7    9.0  1.4  5.780  0.320  0.000  0.050 AS1039	D
55315.6   10.0  1.4  5.944  0.260  0.000  0.050 AS1039	D
55318.6   11.0  1.4  5.760  0.280  0.000  0.050 AS1039	D
55323.6   12.0  1.4  6.441  0.300  0.000  0.050 AS1039	D
55330.5   13.0  1.4  5.355  0.280  0.000  0.050 AS1039	D
55332.6   14.0  1.4  5.803  0.280  0.000  0.050 AS1039	D	
55341.6   15.0  1.4  5.853  0.300  0.000  0.050 AS1039	D
55345.6   16.0  1.4  5.828  0.290  0.000  0.050 AS1039	D
55362.5   17.0	1.4  5.606  0.260  0.000  0.050 AS1039	D
55367.6	  18.0	1.4  5.763  0.330  0.000  0.050 AS1039	D
55368.5	  19.0	1.4  5.905  0.290  0.000  0.050 AS1039	D
55404.4   20.0  1.4  6.917  0.280  0.000  0.050 10B-233 D
55419.4	  21.0	1.4  7.924  0.330  0.000  0.050	10B-233 D
55434.3	  22.0	1.4  5.489  0.260  0.000  0.050 10B-233 D
55449.2	  23.0 	1.4  5.608  0.240  0.000  0.050 10B-233 D
55469.2	  24.0	1.4  5.582  0.145  0.000  0.050 10B-233 DnC
55625.4   25.0  1.3  4.220  0.163  0.000  0.050 11A-254 B
55735.4   26.0  1.3  3.596  0.081  0.000  0.050 11A-254 A
55869.1   27.0  1.3  3.642  0.534  0.000  0.050 11B-170 D
55934.8   28.0  1.3  4.688  1.020  0.000  0.050 11B-170 DnC *held width constant
56035.4   29.0  1.3  2.940  0.301  0.000  0.050 11B-170 C

