#Epoch MJd Freq Flux eFlux Er2 Day
1 56040.4 33.0 0.032 0.025 0.10 1
1A 56069.0 225.3 13.80 2.000 0.10 30
2 56084.4 5.0 1.089 0.028 0.05 45
2 56084.4 6.8 1.381 0.025 0.05 45
3 56092.2 13.3 3.523 0.042 0.10 53
3 56092.2 16.0 3.980 0.049 0.10 53
3 56092.2 28.2 5.727 0.098 0.10 53
3 56092.2 36.5 5.961 0.139 0.10 53
4 56100.3 5.0 3.423 0.023 0.05 61
4 56100.3 6.8 3.629 0.025 0.05 61
4 56100.3 8.5 3.683 0.052 0.05 61
4 56100.3 11.4 3.779 0.071 0.05 61
B 56117.9 225.5 0.000 0.680 0.10 77
5 56119.1 1.35 1.680 0.120 0.05 80
5 56119.1 1.84 1.391 0.066 0.05 80
5 56119.1 4.74 1.907 0.027 0.05 80
5 56119.1 7.59 1.921 0.023 0.05 80
6 56128.3 17.5 1.374 0.091 0.10 89
6 56128.3 27.5 1.438 0.143 0.10 89
6 56128.3 36.5 1.136 0.194 0.10 89
7 56148.0 4.74 0.521 0.033 0.05 109
7 56148.0 7.59 0.528 0.025 0.05 109
7 56148.0 8.53 0.556 0.031 0.05 109
7 56148.0 11.38 0.571 0.060 0.05 109
8 56150.2 13.30 0.495 0.042 0.10 111
8 56150.2 17.45 0.380 0.049 0.10 111
8 56150.2 27.50 0.469 0.078 0.10 111
8 56150.2 36.50 0.390 0.086 0.10 111
8 56151.3 1.80 0.497 0.088 0.05 112
8 56151.3 4.61 0.550 0.024 0.05 112
8 56151.3 7.41 0.509 0.017 0.05 112
8 56151.3 11.34 0.418 0.035 0.05 112
9 56167.0 1.36 0.244 0.049 0.05 109
9 56167.0 1.78 0.431 0.048 0.05 109
9 56167.0 4.6 0.347 0.028 0.05 109
9 56167.0 7.46 0.292 0.016 0.05 109
9 56167.0 8.5 0.289 0.018 0.05 109
9 56167.0 11.4 0.368 0.031 0.05 109
10 56174.2 13.30 0.188 0.019 0.10 135
10 56174.2 17.45 0.110 0.029 0.10 135
10 56174.2 27.50 0.106 0.027 0.10 135
10 56174.2 36.50 0.365 0.131 0.10 135
11 56177.9 1.33 0.225 0.044 0.05 138
11 56177.9 1.77 0.201 0.042 0.05 138
12 56231.0 13.30 0.035 0.021 0.10 192
12 56231.0 17.40 0.043 0.027 0.10 192
12 56231.0 27.50 0.060 0.044 0.10 192
12 56231.0 36.50 0.044 0.052 0.10 192
13 56270.8 1.26 0 0.083 0.05 231
13 56270.8 1.74 0 0.084 0.05 231
13 56270.8 4.55 0 0.021 0.05 231
13 56270.8 7.40 0 0.016 0.05 231
13 56270.8 8.52 0 0.025 0.05 231
13 56270.8 11.40 0 0.030 0.05 231
13 56270.8 13.30 0 0.029 0.10 231
13 56270.8 17.45 0 0.035 0.10 231
14 56284.6 13.30 0.047 0.022 0.10 225
14 56284.6 17.45 0.049 0.026 0.10 225
14 56284.6 27.50 0.036 0.050 0.10 225
14 56284.6 36.50 0.020 0.068 0.10 225
15 56297.7 1.26 0.0504 0.102 0.05 258
15 56297.7 1.74 0 0.0680 0.05 258
15 56297.7 4.55 0.0328 0.0332 0.05 258
15 56297.7 7.399 0.0288 0.0234 0.05 258
15 56297.7 8.52 0.0286 0.0179 0.05 258
15 56297.7 11.4 0.0413 0.0233 0.05 258
16 56347.7 1.26 0.346 0.503 0.05 308
16 56347.7 1.74 0 0.368 0.05 308
16 56347.7 4.55 0 0.114 0.05 308
16 56347.7 7.399 0 0.160 0.05 308
16 56347.7 8.52 0.465 0.201 0.05 308
16 56347.7 11.4 0 0.301 0.05 308
17 56358.6 13.22 0 0.027 0.10 319
17 56358.6 17.45 0.009 0.025 0.10 319
17 56358.6 27.50 0.046 0.049 0.10 319
17 56358.6 36.50 0.120 0.062 0.10 319
17a 56359.6 13.3 0 0.0232 0.10 320
17a 56359.6 17.4 0.0240 0.0291 0.10 320
17a 56359.6 27.5 0.113 0.0653 0.10 320
17a 56359.6 36.5 0.0109 0.0826 0.10 320
18 56441.4 1.26 0.0811 0.396 0.05 402
18 56441.4 1.74 0 0.326 0.05 402
18 56441.4 4.55 0.0437 0.0331 0.05 402
18 56441.4 7.399 0 0.0207 0.05 402
18 56441.4 8.52 0 0.0178 0.05 402
18 56441.4 11.4 0 0.0191 0.05 402
18 56446.2 13.3 0 0.0243 0.10 407
18 56446.2 17.4 0.0260 0.0291 0.10 407
18 56446.2 27.5 0.112 0.0771 0.10 407
18 56446.2 36.5 0 0.0950 0.10 407
19 56526.2 1.26 0 0.276 0.05 487
19 56526.2 1.74 0 0.169 0.05 487
19 56526.2 4.55 0 0.0275 0.05 487
19 56526.2 7.40 0 0.0190 0.05 487
19 56526.2 8.52 0.00449 0.0216 0.05 487
19 56526.2 11.4 0 0.0239 0.05 487
20 56530.2 13.3 0 0.0308 0.10 491
20 56530.2 17.4 0 0.0526 0.10 491
20 56530.2 27.5 0.0271 0.0105 0.10 491
20 56530.2 36.5 0.110 0.110 0.10 491
